genename Y101_A Y101_B Y101_C Y102_A Y102_B Y102_C Y201_A Y201_B Y201_C Y202_A Y202_B Y202_C Y1015_A Y1015_B Y1015_C
CRTAP 86925.1866062104 344126.945772752 187415.809718147 323217.936121094 575872.346488865 697541.395410869 163612.74226676 232434.535780163 61769.3196794447 329962.607882953 518685.433159848 390469.106892793 108446.398261714 43464.0695763012 105503.799193008
ATP6AP2 37201.5387604841 146225.014475213 91587.2981570237 91803.295271961 110783.629881332 226518.887034203 16652.3309361689 52496.3869858475 225666.532025673 36381.6916128303 85148.3948363689 150111.076335441 50311.9810605825 20778.8504343135 121140.061669766
PSMD10 12383.3486963435 2252.46919952015 58201.7600968014 7800.88416683458 93657.2521412511 67139.449450714 451.572480508021 7298.45984243114 18069.0291816518 0 4968.17531984943 84488.5361417978 62204.1708169156 17192.1752712507 212233.239126567
IDH1 1000561.87721774 848083.595067619 919056.188751188 770096.802241707 835737.163342333 936291.67478318 576543.348683709 627296.297468903 710577.988887776 887733.172494213 1568054.52208061 1040429.42060064 2657282.31622344 2612629.0940888 2117121.45357733
ATRN 265609.536066049 264492.06014788 51910.5918381829 451954.415652455 58028.3274485642 86679.94048497 387222.459236229 447728.065283464 11992.9612346431 452311.673051271 220425.700919167 81947.731848004 161713.767476568 217046.198588176 55699.066255324
GLRX3 292052.148827918 251287.878284722 541931.517626629 276580.606070572 712843.054369406 738066.105100983 213042.97756099 244263.193527782 297821.339184118 441950.832072323 792638.138393188 538775.239356534 619304.87401467 691800.173853519 582440.476781255
STC2 20664117.6440613 23502983.3545048 18066542.960286 21829925.1403579 24469101.7005524 41762291.218534 29747695.2588973 19483151.7212882 25877411.6655024 28936667.4291899 48173348.1588244 24113135.8501144 26169913.3940476 24483773.2629059 16528799.4415553
WISP2 351820.464532632 558197.86586778 1084100.88359312 2091151.02154729 110826.660224077 261357.676697281 69703.7937719487 345562.21993348 45705.2581473235 2030137.44251924 270582.218815518 120340.552060232 178053.220743761 74446.5300181275 106883.749751516
NFASC 96722.2138048728 101725.90980364 34120.1615669336 63800.9250547619 31347.8898375679 41800.4221475888 54044.0115172434 72173.7387595173 28815.2825734907 64355.0764537202 52651.1068128288 25464.6087899178 94917.0046433522 107006.593180357 65160.7518114253
DKK1 10707.8565252143 63008.3560523447 28309.0128713723 3914.89711529771 23816.0128703762 46520.6397751757 0 0 0 46.4608058585132 22467.5831259571 15043.6182102003 54597.0583367524 49547.3133660856 37524.1379450047
GLS 5217.02397505369 8952.69773698319 10744.5994007225 16534.8584811073 25873.5696387934 37578.6990530688 11022.5470042194 3812.74595227012 1822.1447408774 14120.0593258901 4909.16238670749 14516.4548333299 181124.148754183 146815.27757954 14799.3868396267
SEC31A 128511.937337701 126966.839412111 234212.212630247 160172.195204086 235692.797480528 370063.803284442 88365.1466785399 84911.3762100451 44831.0861788793 152904.33412144 161924.995687274 248183.025993283 409717.780260643 284740.041728035 273139.609262963
CLSTN1 39973211.9554525 30152374.4560512 11343583.59535 31791369.0755869 37778159.9527868 35253303.4955564 21662601.3775001 15694451.5257684 14787653.315334 65571050.2291584 41091881.5910216 32898833.2530033 27628198.4447232 28050534.3556238 24302428.9801458
PRSS23 4727871.43908539 16820621.8211992 2825997.19889318 8632984.35475073 3159197.73352957 4183923.54161953 2041564.58277531 3295500.59750111 3565623.37957256 2930753.47943386 4578266.18360921 2799979.90782365 8711996.18329743 5011230.05197311 3932690.70313821
